date,amfi_code,nav
2022-01-03,100016,520.4608
2022-01-04,100016,515.0971
2022-01-05,100016,521.7239
2022-01-06,100016,515.788
2022-01-07,100016,515.1639
2022-01-08,100016,515.1639
2022-01-09,100016,515.1639
2022-01-10,100016,510.7136
2022-01-11,100016,513.5542
2022-01-12,100016,512.3195
2022-01-13,100016,510.2445
2022-01-14,100016,514.3636
2022-01-15,100016,514.3636
2022-01-16,100016,514.3636
2022-01-17,100016,514.7627
2022-01-18,100016,517.3803
2022-01-19,100016,513.1866
2022-01-20,100016,507.1294
2022-01-21,100016,507.871
2022-01-22,100016,507.871
2022-01-23,100016,507.871
2022-01-24,100016,506.7062
2022-01-25,100016,509.7762
2022-01-26,100016,509.68
2022-01-27,100016,510.8661
2022-01-28,100016,503.8641
2022-01-29,100016,503.8641
2022-01-30,100016,503.8641
2022-01-31,100016,512.5903
2022-02-01,100016,512.1124
2022-02-02,100016,515.5386
2022-02-03,100016,512.0153
2022-02-04,100016,513.6729
2022-02-05,100016,513.6729
2022-02-06,100016,513.6729
2022-02-07,100016,508.0666
2022-02-08,100016,510.3595
2022-02-09,100016,509.0223
2022-02-10,100016,509.4161
2022-02-11,100016,512.826
2022-02-12,100016,512.826
2022-02-13,100016,512.826
2022-02-14,100016,507.5435
2022-02-15,100016,504.7492
2022-02-16,100016,507.0506
2022-02-17,100016,516.7872
2022-02-18,100016,516.4246
2022-02-19,100016,516.4246
2022-02-20,100016,516.4246
2022-02-21,100016,519.3918
2022-02-22,100016,519.1698
2022-02-23,100016,528.4118
2022-02-24,100016,520.6004
2022-02-25,100016,521.3038
2022-02-26,100016,521.3038
2022-02-27,100016,521.3038
2022-02-28,100016,514.1489
2022-03-01,100016,503.1674
2022-03-02,100016,504.7495
2022-03-03,100016,505.6316
2022-03-04,100016,504.6233
2022-03-05,100016,504.6233
2022-03-06,100016,504.6233
2022-03-07,100016,504.411
2022-03-08,100016,518.6513
2022-03-09,100016,517.7387
2022-03-10,100016,520.3416
2022-03-11,100016,517.6372
2022-03-12,100016,517.6372
2022-03-13,100016,517.6372
2022-03-14,100016,519.2545
2022-03-15,100016,518.432
2022-03-16,100016,516.825
2022-03-17,100016,525.4534
2022-03-18,100016,531.2109
2022-03-19,100016,531.2109
2022-03-20,100016,531.2109
2022-03-21,100016,532.1264
2022-03-22,100016,521.6911
2022-03-23,100016,520.3011
2022-03-24,100016,533.1283
2022-03-25,100016,532.3194
2022-03-26,100016,532.3194
2022-03-27,100016,532.3194
2022-03-28,100016,537.8012
2022-03-29,100016,544.965
2022-03-30,100016,546.3002
2022-03-31,100016,542.5392
2022-04-01,100016,531.285
2022-04-02,100016,531.285
2022-04-03,100016,531.285
2022-04-04,100016,534.7762
2022-04-05,100016,531.2213
2022-04-06,100016,532.3217
2022-04-07,100016,526.7582
2022-04-08,100016,525.7986
2022-04-09,100016,525.7986
2022-04-10,100016,525.7986
2022-04-11,100016,526.2264
2022-04-12,100016,527.7466
2022-04-13,100016,522.8529
2022-04-14,100016,528.6739
2022-04-15,100016,526.1696
2022-04-16,100016,526.1696
2022-04-17,100016,526.1696
2022-04-18,100016,518.7241
2022-04-19,100016,518.493
2022-04-20,100016,518.9178
2022-04-21,100016,519.9214
2022-04-22,100016,526.4763
2022-04-23,100016,526.4763
2022-04-24,100016,526.4763
2022-04-25,100016,525.6507
2022-04-26,100016,525.3674
2022-04-27,100016,520.5493
2022-04-28,100016,524.6005
2022-04-29,100016,525.7251
2022-04-30,100016,525.7251
2022-05-01,100016,525.7251
2022-05-02,100016,524.0515
2022-05-03,100016,515.5881
2022-05-04,100016,522.4674
2022-05-05,100016,517.1078
2022-05-06,100016,514.6837
2022-05-07,100016,514.6837
2022-05-08,100016,514.6837
2022-05-09,100016,516.5793
2022-05-10,100016,511.4204
2022-05-11,100016,504.9889
2022-05-12,100016,495.8735
2022-05-13,100016,499.2941
2022-05-14,100016,499.2941
2022-05-15,100016,499.2941
2022-05-16,100016,497.1556
2022-05-17,100016,510.4206
2022-05-18,100016,506.2251
2022-05-19,100016,502.3871
2022-05-20,100016,500.1462
2022-05-21,100016,500.1462
2022-05-22,100016,500.1462
2022-05-23,100016,501.4785
2022-05-24,100016,499.6609
2022-05-25,100016,502.6257
2022-05-26,100016,498.5637
2022-05-27,100016,492.78
2022-05-28,100016,492.78
2022-05-29,100016,492.78
2022-05-30,100016,485.277
2022-05-31,100016,476.0989
2022-06-01,100016,474.1732
2022-06-02,100016,473.1602
2022-06-03,100016,470.7754
2022-06-04,100016,470.7754
2022-06-05,100016,470.7754
2022-06-06,100016,476.2119
2022-06-07,100016,481.6458
2022-06-08,100016,480.4735
2022-06-09,100016,473.1759
2022-06-10,100016,471.0598
2022-06-11,100016,471.0598
2022-06-12,100016,471.0598
2022-06-13,100016,468.8163
2022-06-14,100016,466.3477
2022-06-15,100016,463.7261
2022-06-16,100016,461.2993
2022-06-17,100016,459.9666
2022-06-18,100016,459.9666
2022-06-19,100016,459.9666
2022-06-20,100016,457.6317
2022-06-21,100016,458.7099
2022-06-22,100016,460.4075
2022-06-23,100016,456.9604
2022-06-24,100016,462.3501
2022-06-25,100016,462.3501
2022-06-26,100016,462.3501
2022-06-27,100016,458.6076
2022-06-28,100016,452.344
2022-06-29,100016,454.0998
2022-06-30,100016,451.0707
2022-07-01,100016,452.584
2022-07-02,100016,452.584
2022-07-03,100016,452.584
2022-07-04,100016,443.3196
2022-07-05,100016,449.0289
2022-07-06,100016,451.9322
2022-07-07,100016,446.2213
2022-07-08,100016,440.6669
2022-07-09,100016,440.6669
2022-07-10,100016,440.6669
2022-07-11,100016,447.4448
2022-07-12,100016,444.7739
2022-07-13,100016,441.7416
2022-07-14,100016,433.2246
2022-07-15,100016,432.1093
2022-07-16,100016,432.1093
2022-07-17,100016,432.1093
2022-07-18,100016,431.4649
2022-07-19,100016,434.4201
2022-07-20,100016,429.3142
2022-07-21,100016,423.8151
2022-07-22,100016,425.7236
2022-07-23,100016,425.7236
2022-07-24,100016,425.7236
2022-07-25,100016,429.7419
2022-07-26,100016,424.047
2022-07-27,100016,428.3319
2022-07-28,100016,428.6948
2022-07-29,100016,433.0659
2022-07-30,100016,433.0659
2022-07-31,100016,433.0659
2022-08-01,100016,433.0211
2022-08-02,100016,423.7137
2022-08-03,100016,423.3646
2022-08-04,100016,427.5619
2022-08-05,100016,424.424
2022-08-06,100016,424.424
2022-08-07,100016,424.424
2022-08-08,100016,423.1925
2022-08-09,100016,422.7537
2022-08-10,100016,412.293
2022-08-11,100016,418.6311
2022-08-12,100016,415.5307
2022-08-13,100016,415.5307
2022-08-14,100016,415.5307
2022-08-15,100016,417.6036
2022-08-16,100016,417.4997
2022-08-17,100016,422.3739
2022-08-18,100016,424.1079
2022-08-19,100016,423.4485
2022-08-20,100016,423.4485
2022-08-21,100016,423.4485
2022-08-22,100016,420.3416
2022-08-23,100016,423.5281
2022-08-24,100016,416.803
2022-08-25,100016,419.4003
2022-08-26,100016,415.5691
2022-08-27,100016,415.5691
2022-08-28,100016,415.5691
2022-08-29,100016,420.401
2022-08-30,100016,421.2166
2022-08-31,100016,423.8348
2022-09-01,100016,424.3603
